Title,URL,Publisher,Publication Place,Province
The Agassiz-Harrison Observer,https://www.agassizharrisonobserver.com/,Black Press Group Ltd.,Agassiz,BC
The Canadian Press,https://www.thecanadianpress.com/,Canadian Press Enterprises Inc.,Toronto,ON
The Capital,https://www.threehillscapital.com/,Postmedia Network Inc.,Three Hills,AB
Carleton Place / Almonte Canadian Gazette,https://www.insideottawavalley.com/ontario-communities/carleton-place-almonte/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Carleton Place,ON
Alberni Valley News,https://www.albernivalleynews.com/,Black Press Group Ltd.,Port Alberni,BC
Aldergrove Star,https://www.aldergrovestar.com/,Black Press Group Ltd.,Aldergrove,BC
Chatham Daily News,https://www.chathamdailynews.ca/,Postmedia Network Inc.,Chatham,ON
Chatham This Week,https://www.chathamthisweek.com/,Postmedia Network Inc.,Chatham,ON
Arrow Lakes News,https://www.arrowlakesnews.com/,Black Press Group Ltd.,Nakusp,BC
The Ashcroft-Cache Creek Journal,https://www.ashcroftcachecreekjournal.com/,Black Press Group Ltd.,Ashcroft,BC
Chronicle - Herald,https://www.saltwire.com/category/nova-scotia/,CNW Group Ltd.,Halifax,NS
Claresholm Local Press,https://claresholmlocalpress.ca/,Postmedia Network Inc.,Claresholm,AB
The Boundary Creek Times,https://www.boundarycreektimes.com/,Black Press Group Ltd.,Grand Forks,BC
Clinton News-Record,https://www.clintonnewsrecord.com/,Postmedia Network Inc.,Clinton,ON
Burns Lake Lakes District News,https://www.burnslakelakesdistrictnews.com/,Black Press Group Ltd.,Burns Lake,BC
Caledonia Courier,https://www.caledoniacourier.com/,Black Press Group Ltd.,Vanderhoof,BC
Cochrane Times,https://www.cochranetimes.com/,Postmedia Network Inc.,Cochrane,AB
Cochrane Times-Post,https://www.cochranetimespost.ca/,Postmedia Network Inc.,Cochrane,AB
Cold Lake Sun,https://www.coldlakesun.com/,Postmedia Network Inc.,Cold Lake,AB
The Collingwood Connection,https://www.simcoe.com/ontario-communities/collingwood/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Collingwood,ON
Community Press,https://www.communitypress.ca/,Postmedia Network Inc.,Stirling,AB
The Community Press,https://thecommunitypress.com/,Postmedia Network Inc.,Sedgewick,AB
Campbell River Mirror,https://www.campbellrivermirror.com/,Black Press Group Ltd.,Campbell River,BC
Consort Enterprise,https://consortenterprise.com/,Postmedia Network Inc.,Consort,AB
The Courier Press,https://www.courierpress.com/,Postmedia Network Inc.,Wallaceburg,ON
Canadian Evergreen,https://www.canadianevergreen.com/,Black Press Group Ltd.,Surrey,BC
Castlegar News,https://www.castlegarnews.com/,Black Press Group Ltd.,Castlegar,BC
Chemainus Valley Courier,https://www.chemainusvalleycourier.ca/,Black Press Group Ltd.,Chemainus,BC
Crowsnest Pass Herald,https://www.passherald.ca/,Postmedia Network Inc.,Blairmore,AB
Daily Gleaner,http://www.dailygleaner.com/,Postmedia Network Inc.,Fredericton,NB
The Daily Graphic,https://www.thegraphicleader.com/,Postmedia Network Inc.,Portage La Prarie,MB
The Daily Herald-Tribune,https://www.dailyheraldtribune.com/,Postmedia Network Inc.,Grand Prairie,AB
Daily Miner and News,https://www.kenoraminerandnews.com/,Postmedia Network Inc.,Kenora,ON
Daily Press,https://www.timminspress.com/,Postmedia Network Inc.,Timmins,ON
The Daily Sentinel Review,https://www.woodstocksentinelreview.com/,Postmedia Network Inc.,Woodstock,ON
Delta Optimist,https://www.delta-optimist.com/,Postmedia Network Inc.,Delta,BC
Devon Dispatch News,https://www.devondispatch.ca/,Postmedia Network Inc.,Devon,AB
Drayton Valley Western Review,https://www.draytonvalleywesternreview.com/,Postmedia Network Inc.,Drayton Valley,AB
DurhamRegion.com,https://www.durhamregion.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Oshawa,ON
The Chilliwack Progress,https://www.theprogress.com/,Black Press Group Ltd.,Chilliwack,BC
East Central Alberta Review,https://ecareview.com/,Postmedia Network Inc.,Coronation,AB
East Gwillimbury Express,https://www.yorkregion.com/ontario-communities/east-gwillimbury/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Kawartha Lakes,ON
Clearwater Times,https://www.clearwatertimes.com/,Black Press Group Ltd.,Clearwater,BC
The Cloverdale Reporter,https://www.cloverdalereporter.com/,Black Press Group Ltd.,Surrey,BC
Edmonton Examiner,https://www.edmontonexaminer.com/,Postmedia Network Inc.,Edmonton,AB
Edmonton Journal,https://edmontonjournal.com/,Postmedia Network Inc.,Edmonton,AB
The Edmonton Sun,https://edmontonsun.com/,Postmedia Network Inc.,Edmonton,AB
Era - Banner,https://www.yorkregion.com/ontario-communities/newmarket/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Newmarket,ON
The Brantford Expositor,https://www.brantfordexpositor.ca/,Postmedia Network Inc.,Brantford,ON
Fairview Post,https://www.fairviewpost.com/,Postmedia Network Inc.,Fairview,AB
Flamborough Review,https://www.flamboroughtoday.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Waterdown,ON
The Forester,https://www.muskokaregion.com/ontario-communities/huntsville/news/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Huntsville,ON
Fort Erie Post,https://www.niagarathisweek.com/ontario-communities/fort-erie/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Thorold,ON
Fort McMurray Today,https://www.fortmcmurraytoday.com/,Postmedia Network Inc.,Fort McMurray,AB
Fort Saskatchewan Record,https://www.fortsaskatchewanrecord.com/,Postmedia Network Inc.,Fort Saskatchewan,AB
Coast Mountain News,https://www.coastmountainnews.com/,Black Press Group Ltd.,Bella Coola,BC
The Gananoque Reporter,https://www.gananoquereporter.com/,Postmedia Network Inc.,Gananoque,ON
The Georgina Advocate,https://www.yorkregion.com/ontario-communities/georgina/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Keswick,ON
The Globe and Mail,https://www.theglobeandmail.com/,The Globe and Mail,Toronto,ON
Goderich Signal Star,https://www.goderichsignalstar.com/,Postmedia Network Inc.,Goderich,ON
Comox Valley Record,https://www.comoxvalleyrecord.com/,Black Press Group Ltd.,Courtenay,BC
Cowichan Valley Citizen,https://www.cowichanvalleycitizen.com/,Black Press Group Ltd.,Duncan,BC
Grand Bend Lakeshore Advance,https://www.lakeshoreadvance.com/,Postmedia Network Inc.,Grand Bend,ON
Cranbrook Townsman,https://www.cranbrooktownsman.com/,Black Press Group Ltd.,Cranbrook,BC
Gravenhurst Banner,https://www.muskokaregion.com/ontario-communities/gravenhurst/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Gravenhurst,ON
Grey Bruce This Week,https://www.greybrucethisweek.ca/,Postmedia Network Inc.,Toronto,ON
Grimsby Lincoln News,https://www.niagarathisweek.com/ontario-communities/grimsby/news/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Thorold,ON
Grizzly Gazette,https://thegrizzlygazette.org/,Postmedia Network Inc.,Swan Hills,AB
Guelph Mercury Tribune,https://www.guelphmercury.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Guelph,ON
Creston Valley Advance,https://www.crestonvalleyadvance.ca/,Black Press Group Ltd.,Creston,BC
Eagle Valley News,https://www.eaglevalleynews.com/,Black Press Group Ltd.,Sicamous,BC
The Hamilton Spectator,https://www.thespec.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Hamilton,ON
Hanna Herald,https://www.hannaherald.com/,Postmedia Network Inc.,Hanna,AB
The Hanover Post,https://www.thepost.on.ca/,Postmedia Network Inc.,Hanover,ON
Alliston Herald,https://www.simcoe.com/ontario-communities/alliston/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Alliston,ON
The High River Times,https://www.highrivertimes.com/category/news/,Postmedia Network Inc.,High River,AB
Fernie Free Press,https://www.thefreepress.ca/,Black Press Group Ltd.,Fernie,BC
Hay River Hub,https://www.nnsl.com/hayriverhub/,Black Press Group Ltd.,Hay River,NT
The Independent & Free Press,https://www.theifp.ca/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Georgetown,ON
Innisfil Journal,https://www.innisfiltoday.ca/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Innisfil,ON
InsideHalton.com,https://www.insidehalton.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Burlington,ON
InsideOttawaValley.com,https://www.insideottawavalley.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Ottawa,ON
InsideToronto.com,https://www.insidetoronto.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Toronto,ON
The Intelligencer,https://www.theintelligencer.net/,Postmedia Network Inc.,Belleville,ON
The Golden Star,https://thegoldenstar.net/,Black Press Group Ltd.,Golden,BC
Inuvik Drum,https://www.nnsl.com/inuvikdrum,Black Press Group Ltd.,Yellowknife,NT
Kawartha Lakes This Week,https://www.thepeterboroughexaminer.com/ontario-communities/kawartha-lakes/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Lindsay,ON
Goldstream News Gazette,https://www.goldstreamgazette.com/,Black Press Group Ltd.,Victoria,BC
Kemptville Advance,https://www.insideottawavalley.com/ontario-communities/kemptville/,CNW Group Ltd.,Kemptville,ON
Kenora Daily Miner and News,https://www.kenoraminerandnews.com/,Postmedia Network Inc.,Kenora,ON
Grand Forks Gazette,https://www.grandforksgazette.ca/,Black Press Group Ltd.,Grand Forks,BC
The Kincardine News,https://www.kincardinenews.com/,Postmedia Network Inc.,Kincardine,ON
King Connection,https://kingconnect.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Toronto,ON
The Kingston Whig-Standard,https://www.thewhig.com/,Postmedia Network Inc.,Kingston,ON
Kivalliq News,https://www.nunavutnews.com/kivalliq-news,Northern News Services Limited,Rankin Inlet,NU
Gulf Islands Driftwood,https://gulfislandsdriftwood.com/,Black Press Group Ltd.,Ganges,BC
Haida Gwaii Observer,https://www.haidagwaiiobserver.com/,Black Press Group Ltd.,Prince Rupert,BC
The Hope Standard,https://www.hopestandard.com/,Black Press Group Ltd.,Hope,BC
Houston Today,https://www.houston-today.com/,Black Press Group Ltd.,Houston,BC
The Lakeside Leader,https://www.lakesideleader.com/,Postmedia Network Inc.,Slave Lake,AB
The Interior News,https://www.interior-news.com/,Black Press Group Ltd.,Smithers,BC
The Regina Leader-Post,https://leaderpost.com/,Postmedia Network Inc.,Regina,SK
The Leduc Representative,https://www.leducrep.com/,Postmedia Network Inc.,Leduc,AB
The Lethbridge Herald,https://lethbridgeherald.com/,Postmedia Network Inc.,Lethbridge,AB
The Liberal,https://www.yorkregion.com/ontario-communities/richmond-hill/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Richmond Hill,ON
The Logic,https://thelogic.co/,The Logic Inc.,Toronto,ON
The London Free Press,https://lfpress.com/,Postmedia Network Inc.,London,ON
Londoner,https://www.thelondoner.com/,Postmedia Network Inc.,London,ON
The Lucknow Sentinel,https://www.lucknowsentinel.com/,Postmedia Network Inc.,Lucknow,ON
The Macleod Gazette,https://www.fortmacleodgazette.com/,Postmedia Network Inc.,Fort Macleod,AB
Maple Creek News,https://maplecreeknews.com/,Postmedia Network Inc.,Maple Creek,SK
Markham Economist & Sun,https://www.yorkregion.com/ontario-communities/markham/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Markham,ON
The Mayerthorpe Freelancer,https://www.mayerthorpefreelancer.com/,Postmedia Network Inc.,Mayerthorpefreelancer,AB
The Medicine Hat News,https://medicinehatnews.com/,Postmedia Network Inc.,Medicine Hat,AB
Melfort Journal,https://www.melfortjournal.com/,Postmedia Network Inc.,Melfort,SK
The Mid-North Monitor,https://www.midnorthmonitor.com/,Postmedia Network Inc.,Espanola,ON
The Midland - Penetanguishene Mirror,https://www.simcoe.com/ontario-communities/midland/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Midland,ON
The Midweek Banner,https://www.orangeville.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Orangeville,ON
Miramichi Leader,https://tj.news/category/miramichi-leader-miramichi/,Postmedia Network Inc.,Miramichi,NB
Kelowna Capital News,https://www.kelownacapnews.com/,Black Press Group Ltd.,Kelowna,BC
Mississauga News,https://www.mississauga.com/news/mississauga-hospital-construction-project-under-fire-for-using-u-s-subcontractor/article_e8149308-9269-5e20-8a90-20dc8bb19861.html,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Mississauga,ON
The Mitchell Advocate,https://www.mitchelladvocate.com/,Postmedia Network Inc.,West Perth,ON
Kimberley Bulletin,https://www.kimberleybulletin.com/,Black Press Group Ltd.,Kimberley,BC
The Montreal Gazette,https://www.montrealgazette.com/,Postmedia Network Inc.,Montreal,QC
Ladysmith Chemainus Chronicle,https://www.ladysmithchronicle.com/,Black Press Group Ltd.,Ladysmith,BC
The Mountaineer,https://www.themountaineer.com/,Postmedia Network Inc.,Rocky Mountain House,AB
MuskokaRegion.com,https://www.muskokaregion.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Muskoka,ON
MyKawartha.com,http://mykawartha.com,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Toronto,ON
Northern News Services,https://www.nnsl.com/,Black Press Group Ltd.,Yellowknife,NT
Lake Country Calendar,https://www.lakecountrycalendar.com/,Black Press Group Ltd.,Kelowna,BC
The Nanton News,https://www.nantonnews.com/,Postmedia Network Inc.,Nanton,AB
The Napanee Guide,https://www.napaneeguide.com/,Postmedia Network Inc.,Napanee,ON
National Post,https://nationalpost.com/,Postmedia Network Inc.,Toronto,ON
The Lake Cowichan Gazette,https://www.lakecowichangazette.com/,Black Press Group Ltd.,Duncan,BC
New Hamburg Independent,https://www.newhamburgindependent.ca/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",New Hamburg,ON
Langley Advance Times,https://www.langleyadvancetimes.com/,Black Press Group Ltd.,Langley,BC
Mission Record,https://www.missioncityrecord.com/,Black Press Group Ltd.,Mission,BC
News/North,https://www.nnsl.com/nwtnewsnorth/,Black Press Group Ltd.,Yellowknife,NT
Niagara Falls Review,https://www.niagarafallsreview.ca/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Niagara Falls,ON
Niagara This Week,https://www.niagarathisweek.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Thorold,ON
Niagara-on-the-Lake Advance,https://www.niagarathisweek.com/ontario-communities/niagara-on-the-lake/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Niagara-on-the-Lake,ON
Nipawin Journal,https://www.nipawinjournal.com/,Postmedia Network Inc.,Nipawin,SK
North Bay Nipissing News,https://www.northbaynipissing.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Huntsville,ON
The North Bay Nugget,https://www.nugget.ca/,Postmedia Network Inc.,North Bay,ON
Monday Magazine,https://www.mondaymag.com/,Black Press Group Ltd.,Victoria,BC
The Vernon Morning Star,https://www.vernonmorningstar.com/,Black Press Group Ltd.,North Okanagan,BC
North Shore News,https://www.nsnews.com/,Postmedia Network Inc.,North Vancouver,BC
Nanaimo News Bulletin,https://www.nanaimobulletin.com/,Black Press Group Ltd.,Nanaimo,BC
Nelson Star,https://www.nelsonstar.com/,Black Press Group Ltd.,Nelson,BC
NorthBayNipissing.com,https://www.northbaynipissing.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Toronto,ON
The Northern Light,https://tj.news/category/northern-light-bathurst/,Postmedia Network Inc.,Bathurst,NB
Northern News This Week,https://www.northernnewsnow.com/,Postmedia Network Inc.,Kirkland Lake,ON
The Abbotsford News,https://www.abbynews.com/,Black Press Group Ltd.,Abbotsford,BC
Maple Ridge-Pitt Meadows News,https://www.mapleridgenews.com/,Black Press Group Ltd.,Maple Ridge,BC
Northumberland News,https://www.northumberlandnews.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Cobourg,ON
North Delta Reporter,https://www.northdeltareporter.com/,Black Press Group Ltd.,North Delta,BC
Oakville Beaver,https://www.insidehalton.com/ontario-communities/oakville/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Oakville,ON
Observer,https://observer.com/,Postmedia Network Inc.,Sarnia,ON
North Island Gazette,https://www.northislandgazette.com/,Black Press Group Ltd.,Port Hardy,BC
Orillia Today,https://www.orilliamatters.com/local-news,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Orillia,ON
The Ottawa Citizen,https://ottawacitizen.com/,Postmedia Network Inc.,Ottawa,ON
The Ottawa Sun,https://ottawasun.com/,Postmedia Network Inc.,Ottawa,ON
Oxford Review,https://oxford-review.com/,Postmedia Network Inc.,Woodstock,ON
The Paris Star,https://www.parisstaronline.com/,Postmedia Network Inc.,Paris,ON
North Thompson Star/Journal,https://www.barrierestarjournal.com/,Black Press Group Ltd.,Barriere,BC
Parry Sound North Star,https://www.parrysound.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Oakville,ON
The North Thompson Times,https://www.clearwatertimes.com/,Black Press Group Ltd.,Clearwater,BC
The Peace Country Sun,https://www.peacecountrysun.com/,Postmedia Network Inc.,Grand Prairie,AB
Pembroke Observer,https://www.pembrokeobserver.com/,Postmedia Network Inc.,Pembroke,ON
Northern Sentinel,https://www.northernsentinel.com/,Black Press Group Ltd.,Kitimat,BC
The Northern View,https://www.thenorthernview.com/,Black Press Group Ltd.,Prince Rupert,BC
The Perth Courier,https://www.insideottawavalley.com/ontario-communities/perth/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Perth,ON
Peterborough Examiner,https://www.thepeterboroughexaminer.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Peterborough,ON
Pincher Creek Echo,https://www.pinchercreekecho.com/,Postmedia Network Inc.,Pincher Creek,AB
Oak Bay News,https://www.oakbaynews.com/,Black Press Group Ltd.,Victoria,BC
Vanderhoof Omineca Express,https://www.ominecaexpress.com/,Black Press Group Ltd.,Vanderhoof,BC
Port Colborne Leader,https://www.niagarathisweek.com/ontario-communities/port-colborne/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Port Colborne,ON
Port Perry Star,https://www.durhamregion.com/ontario-communities/port-perry/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Port Perry,ON
Burlington Post,https://www.insidehalton.com/ontario-communities/burlington/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Burlington,ON
Prairie Post East,http://www.prairiepost.com/,Postmedia Network Inc.,Swift Current,SK
Prince George Citizen,https://www.princegeorgecitizen.com/,Postmedia Network Inc.,Prince George,BC
The Province,https://theprovince.com/,Postmedia Network Inc.,Vancouver,BC
The Provost News,https://www.provostnews.ca/,Postmedia Network Inc.,Provost,AB
The Parksville Qualicum Beach News,https://www.pqbnews.com/,Black Press Group Ltd.,Parksville,BC
Sherbrooke Record,https://www.sherbrookerecord.com/,Postmedia Network Inc.,Sherbrooke,QC
Record-Gazette,https://www.recordgazette.net/,Postmedia Network Inc.,Peace River,AB
The Recorder and Times,https://www.recorder.ca/,Postmedia Network Inc.,Brockville,ON
The Renfrew Mercury,https://www.insideottawavalley.com/ontario-communities/renfrew/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Renfrew,ON
Peace Arch News,https://www.peacearchnews.com/,Black Press Group Ltd.,White Rock,BC
Peninsula News Review,https://www.peninsulanewsreview.com/,Black Press Group Ltd.,Sidney,BC
Richmond News,https://www.richmond-news.com/,Postmedia Network Inc.,Richmond,BC
Rimbey Review,https://www.rimbeyreview.com/,Postmedia Network Inc.,Rimbey,AB
Penticton Western News,https://www.pentictonwesternnews.com/,Black Press Group Ltd.,Penticton,BC
Quesnel Cariboo Observer,https://www.quesnelobserver.com/,Black Press Group Ltd.,Quesnel,BC
Revelstoke Review,https://www.revelstokereview.com/,Black Press Group Ltd.,Revelstoke,BC
Sarnia Observer,https://www.theobserver.ca/,Postmedia Network Inc.,Sarnia,ON
Sarnia This Week,https://www.sarniathisweek.com/,Postmedia Network Inc.,Sarnia,ON
The Sault Star,https://www.saultstar.com/,Postmedia Network Inc.,Sault Ste. Marie,ON
Sault This Week,https://www.saultthisweek.com/,Postmedia Network Inc.,Toronto,ON
Seaforth Huron Expositor,https://www.seaforthhuronexpositor.com/,Postmedia Network Inc.,Seaforth,ON
The Shaunavon Standard,https://theshaunavonstandard.com/,Postmedia Network Inc.,Shaunavon,SK
Sherwood Park News,https://www.sherwoodparknews.com/,Postmedia Network Inc.,Sherwood Park,AB
Shoreline Beacon,https://www.shorelinebeacon.com/,Postmedia Network Inc.,Port Elgin,ON
The Review,https://www.keremeosreview.com/,Black Press Group Ltd.,Keremeos,BC
The Signal,https://www.signalofpeace.com,Postmedia Network Inc.,Rycroft,AB
The Simcoe Reformer,https://www.simcoereformer.ca/,Postmedia Network Inc.,Simcoe,ON
Rossland News,https://www.rosslandnews.com/,Black Press Group Ltd.,Rossland,BC
Smiths Falls Record News,https://www.insideottawavalley.com/ontario-communities/smiths-falls/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Smiths Falls,ON
Saanich News,https://www.saanichnews.com/,Black Press Group Ltd.,Victoria,BC
The South Peace News,https://www.southpeacenews.com/,Postmedia Network Inc.,High Prairie,AB
Spruce Grove Examiner,https://www.sprucegroveexaminer.com/,Postmedia Network Inc.,Spruce Grove,AB
St. Thomas Times-Journal,https://www.stthomastimesjournal.com/,Postmedia Network Inc.,Saint Thomas,ON
Vermilion Standard,https://www.vermilionstandard.com/,Postmedia Network Inc.,Vermilion,AB
Elliot Lake Standard,https://www.elliotlakestandard.ca/,Postmedia Network Inc.,Elliot Lake,ON
Standard - Freeholder,https://www.standard-freeholder.com/,Postmedia Network Inc.,Cornwall,ON
The St. Catharines Standard,https://www.stcatharinesstandard.ca/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",St. Catharines,ON
Saskatoon StarPhoenix,https://thestarphoenix.com/,Postmedia Network Inc.,Saskatoon,SK
The Stayner Sun,https://www.simcoe.com/ontario-communities/stayner/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Wasaga Beach,ON
Salmon Arm Observer,https://www.saobserver.net/,Black Press Group Ltd.,Salmon Arm,BC
Stoney Creek News,https://www.thespec.com/ontario-communities/stoney-creek/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Stoney Creek,ON
The Stony Plain Reporter,https://www.stonyplainreporter.com/,Postmedia Network Inc.,Stony Plain,AB
Strathroy Age Dispatch,https://www.strathroyagedispatch.com/,Postmedia Network Inc.,Strathroy,ON
The Sudbury Star,https://www.thesudburystar.com/,Postmedia Network Inc.,Sudbury,ON
Shuswap Market News,https://www.saobserver.net/,Black Press Group Ltd.,Salmon Arm,BC
The Owen Sound Sun Times,https://www.owensoundsuntimes.com/,Postmedia Network Inc.,Owen Sound,ON
The Sunny South News,https://www.sunnysouthnews.com/,Postmedia Network Inc.,Coaldale,AB
Similkameen Spotlight,https://www.similkameenspotlight.com/,Black Press Group Ltd.,Princeton,BC
Sooke News Mirror,https://www.sookenewsmirror.com/,Black Press Group Ltd.,Sooke,BC
Telegraph-Journal,https://tj.news/,Postmedia Network Inc.,Saint John,NB
Summerland Review,https://www.summerlandreview.com/,Black Press Group Ltd.,Summerland,BC
Thunder Bay Chronicle Journal,https://www.chroniclejournal.com/,Postmedia Network Inc.,Thunder Bay,ON
Tillsonburg News,https://www.norfolkandtillsonburgnews.com/,Postmedia Network Inc.,Tillsonburg,ON
Cambridge Times,https://www.cambridgetimes.ca/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Cambridge,ON
The Times Colonist,https://www.timescolonist.com/,Postmedia Network Inc.,Victoria,BC
The Times & Transcript,https://tj.news/category/times-transcript-moncton/,Postmedia Network Inc.,Moncton,NB
The Timmins Times,https://www.timminstimes.com/,Postmedia Network Inc.,Timmins,ON
The Tofield Mercury,https://tofieldmerc.com/,Postmedia Network Inc.,Tofield,AB
Surrey Now-Leader,https://www.surreynowleader.com/,Black Press Group Ltd.,Surrey,BC
The Topic,https://www.simcoe.com/ontario-communities/bradford/news/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Bradford,ON
The Toronto Star,https://www.thestar.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Toronto,ON
The Toronto Sun,https://torontosun.com/,Postmedia Network Inc.,Toronto,ON
Toronto.com,https://www.toronto.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Toronto,ON
