victim_id,title,outlet,url
V2-0943,Inquest called into woman's death,Ottawa Sun,https://www.proquest.com/canadiannews/docview/2230070007/29DE5D32EBEF4598PQ/272?accountid=14771&sourcetype=Newspapers
V2-0855,Medical emergency occurred 'incredibly fast ' inquest told,The North Bay Nugget,https://www.nugget.ca/news/local-news/medical-emergency-occurred-incredibly-fast-inquest-told
V1-0031,Pepper spray was used by police,Regina Leader-Post,https://www.proquest.com/canadiannews/docview/349702293/F7745594E26240ABPQ/18?accountid=14771&sourcetype=Newspapers
V1-0273,Toronto Police shootings inquest hears Sylvia Klibingaitis bone-chilling 911 call,The Toronto Sun,https://torontosun.com/2013/10/30/police-shootings-inquest-hears-from-sylvia-klibingaitis-psychiatrist
V2-0951,Inquest ordered into death of man found in jail cell,CityNews,https://vancouver.citynews.ca/2013/11/15/inquest-ordered-into-death-of-man-found-in-jail-cell/
V1-0603,Police body cameras do little to ensure more transparency,The Brandon Sun,https://www.brandonsun.com/opinion/2024/09/12/police-body-cameras-do-little-to-ensure-more-transparency
V1-0640,Police cleared in immigration detainee's death,Toronto Star,https://www.thestar.com/news/immigration/police-cleared-in-immigration-detainees-death/article_ef60f1b1-be8f-51c6-bf07-0769f36b49b0.html
V1-0012,Police seek witnesses to road struggle,Times-Colonist,https://www.proquest.com/canadiannews/docview/345791687/A773E5184F984802PQ/4?accountid=14771&sourcetype=Newspapers
V1-0601,Uncle identifies Drake Dillon  27  as man fatally shot by Saskatoon police,CBC,https://www.cbc.ca/news/canada/saskatoon/uncle-identifies-drake-dillon-27-as-man-fatally-shot-by-saskatoon-police-1.7245733
V1-0538,Family and friends gather to mourn man killed by police,CTV,https://www.ctvnews.ca/edmonton/article/family-and-friends-gather-to-mourn-man-killed-by-police/
V2-0895,Zakery Rogers died of a heart condition while in Hamilton jail. His sister's urging change after inquest,CBC,https://www.cbc.ca/news/canada/hamilton/zakery-rogers-inquest-1.7617423
V1-0671,ASIRT investigating in-custody death at Grande Prairie RCMP detachment,rdnewsNOW,https://rdnewsnow.com/2021/02/09/asirt-investigating-in-custody-death-at-grande-prairie-rcmp-detachment/
V2-0768,Inmate  24  from Ottawa  dies in CSC custody at Joyceville Institution in Kingston,The Kingston Whig-Standard,https://www.thewhig.com/news/inmate-24-from-ottawa-dies-in-csc-custody-at-joyceville-institution-in-kingston
V1-0182,High cocaine levels killed Yukon man  inquest told,CBC,https://www.cbc.ca/news/canada/north/high-cocaine-levels-killed-yukon-man-inquest-told-1.803483
V1-0449,North Bay cop recounts Couvrette turning "three colours" and yelling "satanic" stuff,North Bay Nugget,https://www.nugget.ca/news/north-bay-cop-testifies-in-inquest-into-2018-tasered-death-of-43-year-old-man
V1-0506,Lawsuit filed by family of a B.C. man who died in a police confrontation,The Globe and Mail,https://www.theglobeandmail.com/canada/article-lawsuit-filed-by-family-of-a-bc-man-who-died-in-a-police-2/
V1-0161,Man shot by police was troubled but had good heart  mom says,Kitchener Record,https://www.proquest.com/canadiannews/docview/267223958/5CEC8F4D711947FBPQ/7?accountid=14771&sourcetype=Newspapers
V1-0353,Officer who killed man to testify at inquiry,Brock Citizen,https://www.durhamregion.com/news/officer-who-killed-man-to-testify-at-inquiry/article_cc9cd580-dd09-542d-a973-d92f239a6a5d.html
V1-0292,Greg Matters' family launches civil suit against RCMP,Global News,https://globalnews.ca/news/1554795/greg-matters-family-launches-civil-suit-against-rcmp/
V1-0021,Inquest called into shooting death of Hamilton teen,CBC,https://www.cbc.ca/news/canada/hamilton/headlines/inquest-called-into-shooting-death-of-hamilton-teen-1.1194011
V1-0269,Vigil held as SIU probes disabled man's death,National Post,https://nationalpost.com/posted-toronto/vigil-held-as-siu-probes-disabled-mans-death
V1-0026,Coroner won't let jury rule police shooting a suicide: Police lawyer argues McMillan's death could be seen as self-inflicted,Saskatoon Star-Phoenix,https://www.proquest.com/canadiannews/docview/348669421/6394D4EAEDBD418APQ/5?accountid=14771&sourcetype=Newspapers
V1-0413,Who was Sam Maloney? Man killed during standoff with police had been secretly living a double life,Toronto Sun,https://torontosun.com/2017/01/09/who-was-sam-maloney-man-killed-during-standoff-with-police-had-been-secretly-living-a-double-life
V1-0421,Inquest hears Sanirajak man shot by police had a toy gun,CBC,https://www.cbc.ca/news/canada/north/sanirajak-inquest-jeremy-nuvviaq-rcmp-shooting-1.6368099
V1-0332,Jermaine Carby taken in under Mental Health Act a month before police shot him dead,Toronto Star,https://www.thestar.com/news/crime/jermaine-carby-taken-in-under-mental-health-act-a-month-before-police-shot-him-dead/article_078876d0-dbb4-599a-a4c3-4c5444b96637.html
V1-0394,No charges but lingering questions for Calgary officer who fatally shot car thief,CBC,https://www.cbc.ca/news/canada/calgary/asirt-officer-involved-shooting-calgary-police-no-charge-1.5176596
V1-0556,ASIRT clears Edmonton police officers who killed bystander while firing on robbery suspect,Edmonton Journal,https://edmontonjournal.com/news/crime/asirt-clears-edmonton-police-bystander-shooting
V2-0734,Exposing our dark secret; Inquest into reserve jail deaths,Toronto Sun,https://www.proquest.com/canadiannews/docview/2211640363/29DE5D32EBEF4598PQ/223?accountid=14771&sourcetype=Newspapers
V1-0099,Staff didn't stop Geldart from leaving psychiatric ward  inquest hears,CBC,https://www.cbc.ca/news/canada/new-brunswick/staff-didn-t-stop-geldart-from-leaving-psychiatric-ward-inquest-hears-1.640709
V1-0321,Inquest into cop shooting ordered,Ottawa Sun,https://www.proquest.com/canadiannews/docview/2227137664/29DE5D32EBEF4598PQ/254?accountid=14771&sourcetype=Newspapers
V1-0277,Oakville  Ont. man shot dead by officers had killed estranged wife hours earlier: police,The Globe and Mail,https://www.theglobeandmail.com/news/toronto/oakville-ont-man-shot-dead-by-officers-had-killed-estranged-wife-hours-earlier-police/article4394542/
V2-0678,Man who died in Alberta RCMP cell needed medical attention before his arrest  expert says,CBC,https://www.cbc.ca/news/canada/edmonton/holding-cell-death-rcmp-alberta-1.6556517
V1-0178,He had a good heart  a tough life,Winnipeg Free Press,https://www.winnipegfreepress.com/historic/2008/07/31/he-had-a-good-heart-a-tough-life
V1-0354,Inquest set into 26-year-old Edmonton man's police-shooting death,Peace Arch News,https://www.peacearchnews.com/news/inquest-set-into-26-year-old-edmonton-mans-police-shooting-death-2815158
V1-0118,A pattern of none and done,Winnipeg Free Press,https://www.winnipegfreepress.com/featured/2023/09/12/a-pattern-of-none-and-done
V2-0763,Italian community asks why man died in custody in Quebec,The Globe and Mail,https://www.proquest.com/canadiannews/docview/383838604/DAB282DB47754EEEPQ/7?accountid=14771&sourcetype=Newspapers
V1-0609,Community demands answers in fatal police shooting of Surrey mom,CBC,https://www.cbc.ca/news/canada/british-columbia/fatal-police-shooting-1.7328352
V1-0036,OPP officers cleared in fatal shootout,Montreal Gazette,https://www.proquest.com/canadiannews/docview/433817052/CD3DF8020430499DPQ/8?accountid=14771&sourcetype=Newspapers
V1-0179,Third man dies in police custody in six weeks,Vancouver Sun,https://www.proquest.com/canadiannews/docview/243845040/7B57D5E2BED24D51PQ/10?accountid=14771&sourcetype=Newspapers
V1-0584,Siblings of Brampton  Ont.  man who died during police response to crisis demand change,CBC,https://www.cbc.ca/news/canada/toronto/brampton-man-dead-police-mental-health-1.6809121
V1-0635,Autopsy shows gunshot didn't kill man who died in Saskatoon police chase,CBC,https://www.cbc.ca/news/canada/saskatoon/police-chase-autopsy-released-1.4178782
V1-0028,Investigation underway into death of Regina man,CBC,https://www.cbc.ca/news/canada/investigation-underway-into-death-of-regina-man-1.261953
V1-0076,Park death prompts Taser call; Three officers identified in shooting Victim mourned at Scarborough home: [ONT Edition],Toronto Star,https://www.proquest.com/canadiannews/docview/438711984/BC4B73913A0D4551PQ/5?accountid=14771&sourcetype=Newspapers
V1-0348,ASIRT says no charges in shooting death of Anthony Heffernan,Edmonton Journal,https://web.archive.org/web/20170222185605/http://edmontonjournal.com/opinion/columnists/paula-simons-72-seconds-asirt-investigation-of-anthony-heffernan-shooting-leaves-questions-unanswered
V1-0089,Inquest slams RCMP 'understaffing  underfunding' on reserves,CBC,https://www.cbc.ca/news/canada/manitoba/inquest-slams-rcmp-understaffing-underfunding-on-reserves-1.579161
V1-0448,SIU clears Timmins police officer after shooting after shooting death,National Post,https://nationalpost.com/pmn/news-pmn/canada-news-pmn/siu-clears-timmins-police-officer-after-shooting-after-shooting-death
V1-0606,Cellphone video shows last moments of Cree man's life,APTN News,https://www.aptnnews.ca/national-news/video-atahkakoop-cree-nation-saskatchewan-rcmp-shooting/
V1-0096,Father wants second inquiry into police shooting,CBC,https://www.cbc.ca/news/canada/edmonton/father-wants-second-inquiry-into-police-shooting-1.678809
V1-0331,B.C. Coroner's Inquest into 2014 Valemount death set for Prince George,Prince George Citizen,https://www.princegeorgecitizen.com/local-news/bc-coroners-inquest-into-2014-valemount-death-set-for-prince-george-1468182
V1-0317,SIU clears Halton officers in fatal shooting of Oakville man,CTV,https://www.ctvnews.ca/toronto/article/siu-clears-halton-officers-in-fatal-shooting-of-oakville-man/
V2-0854,Sobering centre opens in Prince George  years after Gitxsan man died of alcohol poisoning in police custody,CBC,https://www.cbc.ca/news/canada/british-columbia/prince-george-sobering-centre-opens-1.6989594
V2-0721,RCMP probe death of man in custody,Winnipeg Free Press,https://www.proquest.com/canadiannews/docview/752213522/49930DEAF4864221PQ/1?accountid=14771&sourcetype=Newspapers
V1-0196,Man identified in shooting  other questions unanswered,Times-Colonist,https://www.proquest.com/canadiannews/docview/348240371/4F9316B3D92A4DC3PQ/12?accountid=14771&sourcetype=Newspapers
V2-0767,Cocaine overdose killed man in Durham police custody,Brock Citizen,https://www.durhamregion.com/news/cocaine-overdose-killed-man-in-durham-police-custody/article_3fde478a-a044-590a-9c09-fb4183e161d1.html
V2-0688,Coroner's inquest begins for Kugluktuk man  22  who died in police custody,CBC,https://www.cbc.ca/news/canada/north/austin-maniyogena-inquest-kugluktuk-1.6436142
V1-0347,Police shooting victim had expressed hope for the future,Toronto Star,https://www.thestar.com/news/gta/police-shooting-victim-had-expressed-hope-for-the-future/article_e2dc223f-ce4e-589d-bf45-0fbf29d6ea15.html
V2-0781,Peel stun gun victim was grieving dead sister,Toronto Star,https://www.thestar.com/news/gta/peel-stun-gun-victim-was-grieving-dead-sister/article_2e2fca9e-5bd6-52db-b0c4-6c91433736fc.html
V1-0361,James Butters ID'ed as man killed by RCMP in Port Hardy,CBC,https://www.cbc.ca/news/canada/british-columbia/james-butters-id-ed-as-man-killed-by-rcmp-in-port-hardy-1.3147728
V1-0340,Inquest into death of Hazelton man,The Interior News,https://www.interior-news.com/news/inquest-into-death-of-hazelton-man-6455632
V2-0770,Woman dies in Chilliwack  B.C.  jail,CBC,https://www.cbc.ca/news/canada/woman-dies-in-chilliwack-b-c-jail-1.715343
V1-0522,SIU identifies man killed after confrontation that began when he reportedly refused to wear mask at grocery store,Toronto.com,https://www.toronto.com/news/siu-identifies-man-killed-after-confrontation-that-began-when-he-reportedly-refused-to-wear-mask/article_c09adce2-634c-5e6f-bd31-3d2792d4c15a.html
V2-0687,SIRT investigates death of man in Amherst police custody,PNI Atlantic News,https://www.saltwire.com/nova-scotia/sirt-investigates-death-of-man-in-amherst-police-custody-328807
V1-0513,'Impossible to find peace:' Spouse wants to see report on Nunavut RCMP shooting death,Global News,https://globalnews.ca/news/7778195/nunavut-rcmp-shooting-spouse-ottawa-police/
V1-0063,SIU clears officer,Toronto Star,https://www.proquest.com/canadiannews/docview/438676950/35F0A61CD2C1488EPQ/4?accountid=14771&sourcetype=Newspapers
V1-0172,Aboriginal group demands meeting after RCMP shooting,Winnipeg Free Press,https://www.winnipegfreepress.com/historic/2008/06/15/aboriginal-group-demands-meeting-after-rcmp-shooting
V1-0445,Better communication may have prevented 2017 Nunavik shooting death: coroner's report,Nunatsiaq News,https://nunatsiaq.com/stories/article/better-communication-may-have-prevented-2017-nunavik-shooting-death-coroners-report/
V1-0624,Woman dies after being hit by Winnipeg police cruiser in riverside park,CBC,https://www.cbc.ca/news/canada/manitoba/woman-hot-fatality-police-cruiser-winnipeg-1.7311828
V1-0503,Police watchdog investigating after man fatally shot by SQ officer,Global News,https://globalnews.ca/news/6498613/police-watchdog-shooting-sq-officer/
V1-0440,Family  community gathers for funeral of man shot by RCMP,Saskatoon StarPhoenix,https://thestarphoenix.com/news/local-news/brydon-whitstone-family-gathers-for-funeral-of-man-shot-by-rcmp
V2-0918,Dad says N.S. restorative justice helped him heal after son's jail cell death,CBC,https://www.cbc.ca/news/canada/nova-scotia/cape-breton-correctional-centre-ernie-leblanc-jason-leblanc-death-1.4601567
V1-0549,Family questions police conduct in firearms search of Port Dover gunsmith,Global News,https://globalnews.ca/news/8383288/port-dover-gunsmith-shot-dead-toronto-police/
V1-0369,No charges against Toronto police after SIU investigation into man's death,CBC,https://www.cbc.ca/news/canada/toronto/no-charges-against-toronto-police-after-siu-investigation-into-man-s-death-1.4038174
V1-0399,London police officer found guilty in death of Oneida of the Thames mother,APTN News,https://www.aptnnews.ca/national-news/london-police-officer-found-guilty-in-death-of-oneida-of-the-thames-mother/
V1-0255,Crescent Beach gunman threatened girlfriend  inquest hears,Surrey Now-Leader,https://www.surreynowleader.com/news/crescent-beach-gunman-threatened-girlfriend-inquest-hears-2888577
V1-0538,Family wants justice for Edmonton man killed in 2021 police shooting,Global News,https://globalnews.ca/news/8708788/steven-nguyen-edmonton-police-shooting-lawsuit/
V1-0644,Why is almost everything about his shooting death a secret?,Toronto Star,https://www.thestar.com/opinion/star-columnists/why-is-almost-everything-about-his-shooting-death-a-secret/article_3aa3ce3d-2c2b-502b-b019-895d2a3f01a5.html
V1-0560,Investigation breaks down suspects' movements ahead of bank shootout in Saanich  B.C.,CBC,https://www.cbc.ca/news/canada/british-columbia/timeline-saanich-bank-robbery-investigation-rcmp-1.6721570
V1-0552,'It bothers me to this day': Officers testify about fatal Saint John  N.B. shooting,PNI Atlantic News,https://www.saltwire.com/atlantic-canada/news/canada/it-bothers-me-to-this-day-officers-testify-about-fatal-saint-john-nb-shooting-100914473/
V1-0224,Waiting for answers in teen's death ; Inquest into how 18-year-old died in police custody begins next week,Toronto Sun,https://www.proquest.com/canadiannews/docview/2229173617/29DE5D32EBEF4598PQ/196?accountid=14771&sourcetype=Newspapers
V2-0682,Broader systemic changes needed to prevent more deaths in custody: PAGC,Saskatoon StarPhoenix,https://thestarphoenix.com/news/saskatchewan/pagc-says-broader-systemic-changes-needed-to-prevent-more-deaths-in-custody
V1-0652,On a quiet London street  shock as police fatally shoot 18-year-old,The London Free Press,https://lfpress.com/news/local-news/man-shot-death-london-police
V1-0513,No grounds for charges in Clyde River RCMP shooting  Ottawa police say,Nunatsiaq News,https://nunatsiaq.com/stories/article/no-grounds-for-charges-in-clyde-river-rcmp-shooting-ottawa-police-say/
V2-0900,Manitoba corrections officer acquitted in 2021 death of Headingley inmate William Ahmo,CBC,https://www.cbc.ca/news/canada/manitoba/robert-morden-william-ahmo-trial-decision-1.7314644
V1-0237,Police shootings inquest: Fateful 911 call  which set the end of Reyal Jardine-Douglas's life in motion  is heard,Toronto Star,https://www.thestar.com/news/crime/police-shootings-inquest-fateful-911-call-which-set-the-end-of-reyal-jardine-douglas-s/article_c8a6f9ee-1fcb-52cc-9293-d936e425c9ac.html
V1-0440,A 'very chaotic' few minutes: Sask. Mountie shot Brydon Whitstone because he thought he had a gun,CBC,https://www.cbc.ca/news/canada/saskatoon/rcmp-whitstone-inquest-shooting-1.4934527
V1-0456,Experts question police tactics in killing of Truro man,PNI Atlantic News,https://www.saltwire.com/nova-scotia/experts-question-police-tactics-in-killing-of-truro-man-274801
V1-0363,Audio of Surrey RCMP shooting of Hudson Brooks posted online,Vancouver Sun,https://vancouversun.com/news/local-news/he-didnt-stand-a-chance-audio-of-police-involved-shooting-of-hudson-brooks-posted-online
V1-0066,Pepper-sprayed man dies; Melee breaks out on east-end street But neighbours praise police 'restraint',Toronto Star,https://www.proquest.com/canadiannews/docview/438675912/BFF1940821B64C41PQ/43?accountid=14771&sourcetype=Newspapers
V1-0581,P.A. police union  administration meet after force's social media makes 'unauthorized' harassment allegations,Saskatoon StarPhoenix,https://thestarphoenix.com/news/local-news/prince-albert-police-allege-harassment-inside-an-outside-of-force-prompting-it-to-remove-video-thanking-outgoing-chief
V1-0560,It looked like a botched bank robbery. But twin brothers were setting a trap for police officers  authorities say,Toronto Star,https://www.thestar.com/news/canada/it-looked-like-a-botched-bank-robbery-but-twin-brothers-were-setting-a-trap-for/article_730598fa-de53-5c28-b40d-a919a5e18d3f.html
V1-0552,Avoid returning to 'high-threat areas' after domestic calls: jury,Telegraph-Journal,https://tj.news/saint-john-south/avoid-returning-to-high-threat-areas-after-domestic-calls-jury
V1-0032,Man dies in a Regina hospital after being arrested by police,The Regina Leader-Post,https://leaderpost.com/news/local/man-dies-in-a-regina-hospital-after-being-arrested-by-police
V1-0019,Parolee killed by police had long record: Officers say man was looking for lethal drug dose,Calgary Herald,https://www.proquest.com/canadiannews/docview/244845840/CD307489238948F6PQ/3?accountid=14771&sourcetype=Newspapers
V1-0378,ASIRT clears officers in fatal shooting of David McQueen,Edmonton Sun,https://edmontonsun.com/2017/08/24/asirt-to-release-findings-in-police-shooting-of-david-mcqueen
V1-0333,RCMP officer who shot Peter de Groot testifies at inquest,Trail Times,https://www.trailtimes.ca/news/rcmp-officer-who-shot-peter-de-groot-testifies-at-inquest-5061114
V1-0019,Mixed feelings greet award: Constable's bullet saved pharmacist,Calgary Herald,https://www.proquest.com/canadiannews/docview/244478382/CD307489238948F6PQ/8?accountid=14771&sourcetype=Newspapers
V1-0129,Supreme Court won't hear family's case in Toronto police shooting death,Global News,https://globalnews.ca/news/165505/supreme-court-wont-hear-familys-case-in-toronto-police-shooting-death/
V1-0188,Man who stabbed family had mental-health problems,The Globe and Mail,https://www.theglobeandmail.com/news/national/man-who-stabbed-family-had-mental-health-problems/article25582130/
V1-0157,Six years later  Coroner rules Robert Dziekanski's death at hands of Mounties at Vancouver airport was a homicide,Ottawa Citizen,https://ottawacitizen.com/news/canada/six-years-later-coroner-rules-robert-dziekanskis-death-at-hands-of-mounties-at-vancouver-airport-was-a-homicide
V1-0160,Complaints commission completes Knipstrom review,The Chilliwack Progress,https://www.theprogress.com/news/complaints-commission-completes-knipstrom-review-1846270
V2-0685,Testimony wraps up at coroner's inquest into in-custody death of Jeremy Sabourin in Moose Jaw,CBC,https://www.cbc.ca/news/canada/saskatchewan/inquest-jeremy-sabourin-death-1.7176296
V1-0185,Inquest into Langley bank robber's death hears he bled to death,Langley Advance Times,https://www.langleyadvancetimes.com/news/inquest-into-langley-bank-robbers-death-hears-he-bled-to-death-2461333
V2-0800,Stanley Robillard inquest releases findings,CBC,https://www.cbc.ca/news/canada/saskatoon/stanley-robillard-inquest-releases-findings-1.2463192
V1-0086,Man shot  killed by Toronto police officer,Niagara Falls Review,https://www.proquest.com/canadiannews/docview/361343068/412FCCA619194262PQ/9?accountid=14771
V2-0867,Man  34  dies in Prince Albert police custody,CTV,https://www.ctvnews.ca/saskatoon/article/man-34-dies-in-prince-albert-police-custody/
V1-0572,SIU identifies four 'subject officers' in probe into police shooting of GTA rampage killer,Toronto Star,https://www.thestar.com/news/gta/siu-identifies-four-subject-officers-in-probe-into-police-shooting-of-gta-rampage-killer/article_373efa76-2b3d-5a8e-b133-034832dc914e.html
V1-0128,Coroner questions 'dynamic entry' raids,Montreal Gazette,https://www.pressreader.com/canada/montreal-gazette/20090627/281638186188371
V2-0680,Brandon Daniels' family devastated by surveillance video of death,CBC,https://www.cbc.ca/news/canada/saskatoon/brandon-daniels-family-devastated-by-surveillance-video-of-death-1.2255125
V1-0055,Family sues cop for son's death: [FINAL C Edition],The Province,https://www.proquest.com/canadiannews/docview/269425963/E91D52E487E04F21PQ/20?accountid=14771&sourcetype=Newspapers
V2-0696,Inquest date set for man who died in Onion Lake police cell in 2019,The Regina Leader-Post,https://leaderpost.com/news/saskatchewan/inquest-date-set-for-man-who-died-in-onion-lake-police-cell-in-2019
V1-0618,Montrealers rally around family of man who died after police operation in Saint-Michel,CBC,https://www.cbc.ca/news/canada/montreal/march-abisay-cruz-spvm-bei-investigations-1.7503358
V1-0330,Man dies after police in B.C. Taser him,The Toronto Sun,https://torontosun.com/2014/06/05/man-dies-after-police-in-bc-taser-him
V2-0761,Inquest set for December in death of man after his arrest by police in Kelowna,Kelowna Capital News,https://www.proquest.com/canadiannews/docview/357966356/9B0D556540C48F4PQ/22?accountid=14771
V2-0689,SIU findings 'breaking my heart ' says friend of Olando Brown,Collingwood Today,https://www.collingwoodtoday.ca/local-news/siu-findings-breaking-my-heart-says-friend-of-olando-brown-1245396
V1-0018,Officer recalls struggle; Victim told to 'drop the knife ' jury told,Windsor Star,https://www.proquest.com/canadiannews/docview/254403444/9228828E3B2A487BPQ/19?accountid=14771&sourcetype=Newspapers
V1-0295,Investigation continues into death of Vancouver man after Tasering,The Vancouver Sun,https://vancouversun.com/news/metro/investigation-continues-into-death-of-vancouver-man-after-police-tasering
V1-0622,First Nation man shot and killed by police 1 year after father's death in police shooting,CBC,https://www.cbc.ca/news/canada/thunder-bay/siu-investigation-eric-nothing-deer-lake-first-nation-1.7593196
V1-0591,Royal Newfoundland Constabulary officer cleared of wrongdoing in fatal shooting of Omar Mohammed,PNI Atlantic News,https://www.saltwire.com/atlantic-canada/royal-newfoundland-constabulary-officer-cleared-of-wrongdoing-in-fatal-shooting-of-omar-mohammed-100920864
V2-0819,Man  18  killed in Niagara Gorge was youth-home resident,CTV,https://www.ctvnews.ca/toronto/article/man-18-killed-in-niagara-gorge-was-youth-home-resident/
V1-0292,Greg Matters RCMP shooting investigation gets third-party review,CBC,https://www.cbc.ca/news/canada/british-columbia/greg-matters-rcmp-shooting-investigation-gets-third-party-review-1.2677587
V1-0153,Investigation continues in Fort St. John RCMP custody death,Alaska Highway News,https://www.proquest.com/canadiannews/docview/356536794/D331290309994DACPQ/5?accountid=14771&sourcetype=Newspapers
V2-0801,Coroner's inquest announced to examine death of man in RCMP custody,Global News,https://globalnews.ca/news/143566/coroners-inquest-announced-to-examine-death-of-man-in-rcmp-custody/
V2-0830,Son accused of attacking mother dies,CBC,https://www.cbc.ca/news/canada/son-accused-of-attacking-mother-dies-1.232535
V2-0776,Inquest to probe death of woman in police cell,The Province,https://www.proquest.com/canadiannews/docview/269594483/701C2F189D964378PQ/5?accountid=14771
V1-0324,Officer cleared of wrongdoing in Medicine Hat shooting,Calgary Herald,https://calgaryherald.com/news/local-news/officer-cleared-of-wrongdoing-in-medicine-hat-shooting
V2-0693,IIO investigate death of woman in custody of Vancouver police,CBC,https://www.cbc.ca/news/canada/british-columbia/iio-investigate-death-of-woman-in-custody-of-vancouver-police-1.2883173
V1-0332,Was knife in Jermaine Carby's hand? Witnesses can't agree as police shooting inquest begins,Brampton Guardian,https://www.bramptonguardian.com/news/was-knife-in-jermaine-carbys-hand-witnesses-cant-agree-as-police-shooting-inquest-begins/article_c4b4330d-68a3-58ec-ae45-29d2d05e424a.html
V1-0523,33-year-old Sherbrooke man dies after being pepper-sprayed by police,CBC,https://www.cbc.ca/news/canada/montreal/bei-investigating-death-of-sherbrooke-man-1.5663250
V1-0381,Mother speaks out after SIU lays no charges in son's police shooting death,Toronto Star,https://www.thestar.com/news/gta/mother-speaks-out-after-siu-lays-no-charges-in-son-s-police-shooting-death/article_dbfd4f9a-3c0f-5f2d-afe1-b5dd357b439a.html
V1-0588,The moments before  during and after a Hamilton landlord killed his 2 tenants: SIU report,CBC,https://www.cbc.ca/news/canada/hamilton/landlord-tenant-shooting-victims-siu-report-1.6978441
V1-0455,'21 seconds': Anatomy of the police shooting that killed Josephine Pelletier,APTN News,https://www.aptnnews.ca/national-news/21-seconds-anatomy-of-the-police-shooting-that-killed-josephine-pelletier/
V1-0440,Mother of Sask. man fatally shot by RCMP officer disappointed by lack of criminal charges,CBC,https://www.cbc.ca/news/canada/saskatoon/brydon-whitstone-rcmp-shooting-saskatchewan-1.4837861
V2-0784,Silverfox inquest verdict restored by court of appeal,Yukon News,https://www.yukon-news.com/news/silverfox-inquest-verdict-restored-by-court-of-appeal-6984690
V1-0473,June dates eyed for inquest probing Steven Rigby's death in 2018 police-involved shooting,CBC,https://www.cbc.ca/news/canada/saskatoon/steven-rigby-saskatoon-police-service-2018-shooting-corner-s-inquest-1.6029595
V1-0047,Booze  drugs caused death  coroner finds,Prince George Citizen,https://www.proquest.com/canadiannews/docview/361720807/B593DA227D9A4987PQ/4?accountid=14771&sourcetype=Newspapers
V2-0683,Inquest deems the in-custody death of Sask. man accidental,CTV,https://www.ctvnews.ca/saskatoon/article/inquest-deems-the-in-custody-death-of-sask-man-accidental/
V1-0416,Suspect fatally shot during arrest in Morley homicide  ASIRT takes over investigation,Global News,https://globalnews.ca/news/3168042/suspect-fatally-shot-during-arrest-rcmp-seek-3rd-suspect-in-morley-homicide/
V1-0563,Inquest into fatal 2022 police shooting of Sask. man ends with no closure: father,CBC,https://www.cbc.ca/news/canada/saskatchewan/jury-inquest-ryan-booker-police-shooting-1.7571102
V1-0201,Cocaine and brain disorder  not RCMP Taser  responsible for death of Brooks man,CTV,https://www.ctvnews.ca/calgary/article/cocaine-and-brain-disorder-not-rcmp-taser-responsible-for-death-of-brooks-man/
V1-0009,London police investigated after stopped cyclist dies,The Globe and Mail,https://www.theglobeandmail.com/news/national/london-police-investigated-after-stopped-cyclist-dies/article1041643/
V1-0325,Brampton residents shocked &amp#039;good&amp#039; neighbour opened fire in courthouse as SIU searches for motive,National Post,https://nationalpost.com/news/toronto/brampton-residents-shocked-good-neighbour-opened-fire-in-courthouse-as-siu-searches-for-motive
