Title,Edition,Publisher,Publication Place,Publication Country,"Full Text
(combined)
First","Full Text
(combined)
Last","Full Text
(combined)
Gaps","Scholarly / Peer-
Reviewed","Full Text
First","Full Text
Last","Full Text
Gaps","Full
Text - PDF
First","Full
Text - PDF
Last","Full
Text - PDF
Gaps",Embargo Days,"Cit/Abs
(combined)
First","Cit/Abs
(combined)
Last","Cit/Abs
(combined)
Gaps","Other
Formats First","Other
Formats Last","Other
Formats Gaps","Peer-
Reviewed",Pub Type,Pub Language,Notes and Changes
Bow Valley Crag & Canyon (Online),,Postmedia Network Inc.,Banff,Canada,15-May-2015,Current,01-Jan-2019--31-Dec-2019; 14-Apr-2021--28-Mar-2022,N,15-May-2015,Current,01-Jan-2019--31-Dec-2019; 14-Apr-2021--28-Mar-2022,,,,1,15-May-2015,Current,01-Jan-2019--31-Dec-2019; 14-Apr-2021--28-Mar-2022,,,,N,Newspapers,English,
Bowen Island Undercurrent,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Bowen Island, B.C.",Canada,,,,N,,,,,,,,06-Aug-2004,21-Jun-2014,,,,,N,Newspapers,English,
Bracebridge Examiner,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Bracebridge, Ont.",Canada,18-Jun-2010,Current,,N,18-Jun-2010,Current,,,,,,18-Jun-2010,Current,,,,,N,Newspapers,English,
The Brampton Guardian,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Brampton, Ont.",Canada,25-Apr-2003,Current,,N,25-Apr-2003,Current,,,,,,25-Apr-2003,Current,,,,,N,Newspapers,English,
The Brandon Sun (Online),,FP Canadian Newspapers Limited Partnership,Brandon,Canada,02-Jan-2011,Current,,N,02-Jan-2011,Current,,,,,,02-Jan-2011,Current,,,,,N,Newspapers,English,
The Brandon Sun,,FP Canadian Newspapers Limited Partnership,"Brandon, Man.",Canada,28-Nov-2007,Current,,N,28-Nov-2007,Current,,,,,,28-Nov-2007,Current,,,,,N,Newspapers,English,
The Brighton Independent,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Brighton, Ont.",Canada,25-Jan-2010,Current,,N,25-Jan-2010,Current,,,,,,25-Jan-2010,Current,,,,,N,Newspapers,English,
Brock Citizen,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Beaverton, Ont.",Canada,20-Jan-2010,Current,,N,20-Jan-2010,Current,,,,,,20-Jan-2010,Current,,,,,N,Newspapers,English,
The Brooks & County Chronicle,,Alberta Weekly Newspapers Association,Brooks,Canada,23-Jun-2013,16-Aug-2015,,N,23-Jun-2013,16-Aug-2015,,,,,,23-Jun-2013,16-Aug-2015,,,,,N,Newspapers,English,
The Brooks Bulletin,,Postmedia Network Inc.,"Brooks, Alta.",Canada,31-Mar-2009,Current,,N,31-Mar-2009,Current,,,,,1,31-Mar-2009,Current,,,,,N,Newspapers,English,
The Bugle-Observer,,Postmedia Network Inc.,"Woodstock, N.B.",Canada,25-Apr-2008,22-Dec-2020,,N,25-Apr-2008,22-Dec-2020,,,,,,25-Apr-2008,08-Feb-2024,,,,,N,Newspapers,English,
Burnaby News Leader,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Burnaby, B.C.",Canada,,,,N,,,,,,,,03-Aug-2004,13-May-2015,,,,,N,Newspapers,English,
Burnaby Now,,Postmedia Network Inc.,"Burnaby, B.C.",Canada,12-Jun-2002,10-Aug-2023,29-Apr-2021--23-Sep-2021,N,12-Jun-2002,10-Aug-2023,29-Apr-2021--23-Sep-2021,,,,,12-Jun-2002,10-Aug-2023,29-Apr-2021--23-Sep-2021,,,,N,Newspapers,English,
Burns Lake Lakes District News (Online),,Black Press Group Ltd.,Burns Lake,Canada,11-Nov-2020,Current,01-Jan-2021--31-Dec-2022,N,11-Nov-2020,Current,01-Jan-2021--31-Dec-2022,,,,,11-Nov-2020,Current,01-Jan-2021--31-Dec-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Business Examiner,North Island ed.,Invest Northwest Publishing Ltd.,"Victoria, B.C.",Canada,08-Sep-2004,05-Feb-2007,,N,08-Sep-2004,05-Feb-2007,,,,,,08-Sep-2004,05-Feb-2007,,,,,N,Newspapers,English,
Business Examiner,South Island ed.,Invest Northwest Publishing Ltd.,"Victoria, B.C.",Canada,08-Sep-2004,20-Dec-2007,,N,08-Sep-2004,20-Dec-2007,,,,,,08-Sep-2004,20-Dec-2007,,,,,N,Newspapers,English,
Business Examiner,Fraser Valley ed.,Invest Northwest Publishing Ltd.,"Surrey, B.C.",Canada,05-Mar-2007,08-Oct-2008,,N,05-Mar-2007,08-Oct-2008,,,,,,05-Mar-2007,08-Oct-2008,,,,,N,Newspapers,English,
Business Examiner,Thompson Okanagan ed.,Invest Northwest Publishing Ltd.,"Kelowna, B.C.",Canada,25-Apr-2007,09-Apr-2009,,N,25-Apr-2007,09-Apr-2009,,,,,,25-Apr-2007,09-Apr-2009,,,,,N,Newspapers,English,
CBC News,,Canadian Broadcasting Corporation,Toronto,Canada,21-Mar-2024,Current,,N,21-Mar-2024,Current,,,,,,21-Mar-2024,Current,,,,,N,Wire Feeds,English,
CBC News (French),,Canadian Broadcasting Corporation,Toronto,Canada,17-Sep-2016,Current,01-Jan-2017--31-Dec-2017; 01-Jan-2020--31-Dec-2020,N,17-Sep-2016,Current,01-Jan-2017--31-Dec-2017; 01-Jan-2020--31-Dec-2020,,,,,17-Sep-2016,Current,01-Jan-2017--31-Dec-2017; 01-Jan-2020--31-Dec-2020,,,,N,Wire Feeds,French,
CTV National News - CTV Television,,"CTV Television, Inc.",Scarborough,Canada,06-Jun-1997,Current,01-Jan-2003--26-Jul-2004; 17-Nov-1997--30-Dec-1999,N,06-Jun-1997,Current,01-Jan-2003--26-Jul-2004; 17-Nov-1997--30-Dec-1999,,,,,06-Jun-1997,Current,01-Jan-2003--26-Jul-2004; 17-Nov-1997--30-Dec-1999,,,,N,Newspapers,English,
Caledon Enterprise,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Caledon, Ont.",Canada,04-Oct-2006,Current,,N,04-Oct-2006,Current,,,,,,04-Oct-2006,Current,,,,,N,Newspapers,English,
Caledonia Courier (Online),,Black Press Group Ltd.,Vanderhoof,Canada,04-Apr-2023,Current,,N,04-Apr-2023,Current,,,,,,04-Apr-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Caledonia Courier,,Black Press Group Ltd.,"Vanderhoof, B.C.",Canada,04-Aug-2004,29-Mar-2022,,N,04-Aug-2004,29-Mar-2022,,,,,,04-Aug-2004,29-Mar-2022,,,,,N,Newspapers,English,
Calgary Herald,,Postmedia Network Inc.,"Calgary, Alta.",Canada,07-Dec-1988,Current,,N,07-Dec-1988,Current,,,,,1,07-Dec-1988,Current,,,,,N,Newspapers,English,
Calgary Herald (Online),,Postmedia Network Inc.,Calgary,Canada,30-Nov-2017,Current,,N,30-Nov-2017,Current,,,,,1,30-Nov-2017,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Calgary Sun (Online),,Postmedia Network Inc.,Calgary,Canada,15-May-2015,Current,,N,15-May-2015,Current,,,,,1,15-May-2015,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Calgary Sun,,Postmedia Network Inc.,Calgary,Canada,23-Mar-2018,Current,,N,23-Mar-2018,Current,,,,,1,23-Mar-2018,Current,,,,,N,Newspapers,,
Cambridge Reporter,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Cambridge, Ont.",Canada,01-Dec-1999,19-Sep-2003,,N,01-Dec-1999,19-Sep-2003,,,,,,01-Dec-1999,19-Sep-2003,,,,,N,Newspapers,English,
Cambridge Reporter (Online),,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Cambridge, Ont.",Canada,27-May-2010,30-Apr-2012,,N,27-May-2010,30-Apr-2012,,,,,,27-May-2010,30-Apr-2012,,,,,N,Newspapers,English,
Campbell River Mirror,,Black Press Group Ltd.,"Campbell River, B.C.",Canada,04-Aug-2004,04-Apr-2022,,N,04-Aug-2004,04-Apr-2022,,,,,,04-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Campbell River Mirror (Online),,Black Press Group Ltd.,Campbell River,Canada,17-May-2017,Current,01-Jan-2022--31-Dec-2022,N,17-May-2017,Current,01-Jan-2022--31-Dec-2022,,,,,17-May-2017,Current,01-Jan-2022--31-Dec-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Campbellford EMC,,Postmedia Network Inc.,"Campbellford, Ont.",Canada,03-Apr-2009,19-May-2016,,N,03-Apr-2009,19-May-2016,,,,,,03-Apr-2009,19-May-2016,,,,,N,Newspapers,English,
The Camrose Canadian (Online),,Postmedia Network Inc.,Camrose,Canada,14-May-2015,26-Jul-2018,,N,14-May-2015,26-Jul-2018,,,,,,14-May-2015,26-Jul-2018,,,,,N,"Blogs, Podcasts, & Websites",English,
The Camrose Canadian,,Postmedia Network Inc.,Camrose,Canada,19-May-2011,09-Aug-2018,,N,19-May-2011,09-Aug-2018,,,,,,19-May-2011,09-Aug-2018,,,,,N,Newspapers,English,
Canada AM - CTV Television,,"CTV Television, Inc.",Toronto,Canada,03-Jan-1994,03-Jun-2016,01-Jan-2003--31-Dec-2003,N,03-Jan-1994,03-Jun-2016,01-Jan-2003--31-Dec-2003,,,,,03-Jan-1994,03-Jun-2016,01-Jan-2003--31-Dec-2003,,,,N,Other Sources,English,
Canada NewsWire,,PR Newswire Association LLC,Ottawa,United States,01-Jan-1999,Current,,N,01-Jan-1999,Current,,,,,,01-Jan-1999,Current,01-Jan-2018--31-Dec-2023,,,,N,Wire Feeds,English,
Canadian Business,,St. Joseph Communications,Toronto,Canada,01-Jan-1993,01-Jan-2017,,N,01-Jan-1993,01-Jan-2017,,,,,,01-Feb-1972,01-Jan-2017,,,,,N,Magazines,English,
Canadian Business (Online),,St. Joseph Communications,Toronto,Canada,08-Jun-2018,Current,,N,08-Jun-2018,Current,,,,,,08-Jun-2018,Current,,,,,N,Magazines,English,
Canadian Business Review,,Conference Board of Canada,Ottawa,Canada,01-Jan-1987,01-Jul-1996,,N,01-Jan-1992,01-Jul-1996,,01-Jan-1987,01-Jul-1996,,,01-Jan-1974,01-Jul-1996,,,,,N,Trade Journals,English,
The Canadian Champion,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Milton, Ont.",Canada,27-Jun-2003,Current,,N,27-Jun-2003,Current,,,,,,27-Jun-2003,Current,,,,,N,Newspapers,English,
Canadian Evergreen (Online),,Black Press Group Ltd.,Surrey,Canada,13-Oct-2020,Current,01-Jan-2021--31-Dec-2022,N,13-Oct-2020,Current,01-Jan-2021--31-Dec-2022,,,,,13-Oct-2020,Current,01-Jan-2021--31-Dec-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Canadian Press -- Broadcast Wire,,Canadian Press Enterprises Inc.,Toronto,Canada,30-Apr-2010,06-Oct-2010,,N,30-Apr-2010,06-Oct-2010,,,,,,30-Apr-2010,06-Oct-2010,,,,,N,Wire Feeds,English,
The Canadian Press,,Canadian Press Enterprises Inc.,Toronto,Canada,01-Jul-1994,Current,,N,01-Jul-1994,Current,,,,,,01-Jul-1994,Current,,,,,N,Wire Feeds,English,
Cape Breton Post,,Postmedia Network Inc.,"Cape Breton, N.S.",Canada,,,,N,,,,,,,,05-Apr-1999,27-Apr-2007,,,,,N,Newspapers,English,
The Capital,,Postmedia Network Inc.,"Three Hills, Alta.",Canada,11-Mar-2009,Current,,N,11-Mar-2009,Current,,,,,1,11-Mar-2009,Current,,,,,N,Newspapers,English,
Cardston Temple City Star,,Postmedia Network Inc.,"Cardston, Alta.",Canada,02-Apr-2009,Current,,N,02-Apr-2009,Current,,,,,1,02-Apr-2009,Current,,,,,N,Newspapers,English,
Carleton Place / Almonte Canadian Gazette,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Carleton Place, Ont.",Canada,14-Sep-2011,Current,,N,14-Sep-2011,Current,,,,,,14-Sep-2011,Current,,,,,N,Newspapers,English,
Castlegar News,,Black Press Group Ltd.,"Castlegar, B.C.",Canada,28-Jul-2004,04-Apr-2022,,N,28-Jul-2004,04-Apr-2022,,,,,,28-Jul-2004,04-Apr-2022,,,,,N,Newspapers,English,
Castlegar News (Online),,Black Press Group Ltd.,Castlegar,Canada,15-Mar-2023,Current,,N,15-Mar-2023,Current,,,,,,15-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Castor Advance (Online),,Black Press Group Ltd.,Castor,Canada,29-Nov-2022,13-May-2024,,N,29-Nov-2022,13-May-2024,,,,,,29-Nov-2022,13-May-2024,,,,,N,"Blogs, Podcasts, & Websites",English,
The Castor Advance,,Black Press Group Ltd.,Castor,Canada,20-Jun-2013,16-Jun-2016,,N,20-Jun-2013,16-Jun-2016,,,,,,20-Jun-2013,16-Jun-2016,,,,,N,Newspapers,English,
Central Alberta Life,,Black Press Group Ltd.,Red Deer,Canada,16-Mar-2023,Current,,N,16-Mar-2023,Current,,,,,,16-Mar-2023,Current,,,,,N,Newspapers,English,
Central Plains Herald-Leader,,Postmedia Network Inc.,Portage La Prairie,Canada,28-May-2011,16-Jul-2020,,N,28-May-2011,16-Jul-2020,,,,,,28-May-2011,16-Jul-2020,,,,,N,Newspapers,English,
Chatham Daily News,,Postmedia Network Inc.,"Chatham, Ont.",Canada,10-Feb-1999,Current,,N,10-Feb-1999,Current,,,,,1,10-Feb-1999,Current,,,,,N,Newspapers,English,
The Chatham Daily News (Online),,Postmedia Network Inc.,Chatham,Canada,25-Jul-2007,Current,01-Jan-2009--31-Dec-2014; 18-Apr-2021--20-Mar-2022,N,25-Jul-2007,Current,01-Jan-2009--31-Dec-2014; 18-Apr-2021--20-Mar-2022,,,,1,25-Jul-2007,Current,01-Jan-2009--31-Dec-2014; 18-Apr-2021--20-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Chatham This Week,,Postmedia Network Inc.,Chatham,Canada,17-Jan-2007,Current,,N,17-Jan-2007,Current,,,,,1,17-Jan-2007,Current,,,,,N,Newspapers,English,
Chemainus Valley Courier (Online),,Black Press Group Ltd.,Chemainus,Canada,19-Nov-2022,Current,,N,19-Nov-2022,Current,,,,,,19-Nov-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Chilliwack Progress (Online),,Black Press Group Ltd.,Chilliwack,Canada,19-May-2022,Current,,N,19-May-2022,Current,,,,,,19-May-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",,
The Chilliwack Progress,,Black Press Group Ltd.,"Chilliwack, B.C.",Canada,01-Aug-2004,04-Apr-2022,,N,01-Aug-2004,04-Apr-2022,,,,,,01-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Chilliwack Times,,Postmedia Network Inc.,"Chilliwack, B.C.",Canada,17-May-2002,29-Dec-2016,,N,17-May-2002,29-Dec-2016,,,,,,17-May-2002,29-Dec-2016,,,,,N,Newspapers,English,
ChrisD.ca - Winnipeg News,,Newstex,,United States,20-Jul-2021,Current,,N,20-Jul-2021,Current,,,,,,20-Jul-2021,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Chronicle - Herald,,CNW Group Ltd.,"Halifax, N.S.",Canada,02-Jan-2014,Current,,N,02-Jan-2014,Current,,,,,,02-Jan-1982,Current,01-Jan-1997--31-Dec-2013; 01-Jan-2002--31-Dec-2013,,,,N,Newspapers,English,
The City Centre Mirror,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Willowdale, Ont.",Canada,22-Mar-2010,12-Dec-2023,,N,22-Mar-2010,12-Dec-2023,,,,,,22-Mar-2010,12-Dec-2023,,,,,N,Newspapers,English,
Claresholm Local Press,,Postmedia Network Inc.,"Claresholm, Alta.",Canada,01-Apr-2009,Current,,N,01-Apr-2009,Current,,,,,1,01-Apr-2009,Current,,,,,N,Newspapers,English,
Clearwater Times (Online),,Black Press Group Ltd.,Clearwater,Canada,16-Mar-2023,Current,,N,16-Mar-2023,Current,,,,,,16-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Clinton News-Record,,Postmedia Network Inc.,Clinton,Canada,25-Apr-2018,Current,,N,25-Apr-2018,Current,,,,,1,25-Apr-2018,Current,,,,,N,Newspapers,English,
Clinton News-Record (Online),,Postmedia Network Inc.,Clinton,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 08-Apr-2021--22-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 08-Apr-2021--22-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 08-Apr-2021--22-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Cloverdale Reporter (Online),,Black Press Group Ltd.,Surrey,Canada,11-Apr-2022,Current,,N,11-Apr-2022,Current,,,,,,11-Apr-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Coast Mountain News (Online),,Black Press Group Ltd.,Bella Coola,Canada,15-Mar-2023,Current,,N,15-Mar-2023,Current,,,,,,15-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Cobourg Daily Star,,Postmedia Network Inc.,"Cobourg, Ont.",Canada,27-Mar-2000,31-May-2006,,N,27-Mar-2000,31-May-2006,,,,,,27-Mar-2000,31-May-2006,,,,,N,Newspapers,English,
Cochrane Times,,Postmedia Network Inc.,Cochrane,Canada,26-Mar-2008,22-Feb-2023,,N,26-Mar-2008,22-Feb-2023,,,,,,26-Mar-2008,22-Feb-2023,,,,,N,Newspapers,English,
